,store_name,branch,area,tel,address,latitude,longitude,category,review_cnt,big_cate,mean_score,store,user,score,lifestyle,ratio
11,브릭스블럭482,,강원속초시,033-631-0031,강원도 속초시 중앙동 482-248,38.201694,128.591172,카페,2,카페,4.5,195141,175320,5,커피 한잔의 낭만파,0.894400001
12,아자방,,경북청도군,054-371-2144,경상북도 청도군 각북면 남산리 1460-19,35.684853,128.590508,한옥카페|카페,1,카페,4,262946,213776,4,커피 한잔의 낭만파,0.894400001
13,바다정원,,강원고성군,033-636-1096,강원도 고성군 토성면 용촌리 59-1,38.230976,128.583677,카페|커피,7,카페,4.142857143,164208,791637,4,커피 한잔의 낭만파,0.894400001
14,꼬지따뽕,,전북전주시완산구,063-288-2277,전라북도 전주시 완산구 교동 50-86,35.814099,127.157356,꼬지|카페,1,카페,4,56739,191568,4,커피 한잔의 낭만파,0.881200016
15,무명일기,,부산영도구,070-7347-8069,부산광역시 영도구 봉래동2가 145-1,35.096435,129.043433,카페|디저트,2,카페,3,152554,861280,3,커피 한잔의 낭만파,0.881200016
16,레드엘커피,,대전동구,042-622-1669,대전광역시 동구 용전동 143-13,36.349,127.435,갤러리카페|카페,2,카페,4.5,120837,290178,4,커피 한잔의 낭만파,0.881200016
17,만랩커피,창동역점,서울도봉구,02-998-1002,서울특별시 도봉구 창동 74-7,37.652622,127.04648,커피|카페,1,카페,3,132806,276312,3,커피 한잔의 낭만파,0.881200016
18,멜팅샵,신사점,서울강남구,02-544-4256,서울특별시 강남구 신사동 647-19,37.524973,127.036174,소꼬리찜|디저트,9,카페,3.777777778,143862,196448,5,커피 한잔의 낭만파,0.881200016
19,까페 호반풍경,,충북옥천군,010-9736-3004,충북 옥천군 군북면 소정리 17,36.368879,127.612174,커피|카페,1,카페,4,54602,194919,4,커피 한잔의 낭만파,0.881200016
20,시루애월,,제주제주시,064-799-0499,제주특별자치도 제주시 애월읍 장전리 634-1,33.442725,126.391844,브런치카페|카페,1,카페,4,247106,216476,4,커피 한잔의 낭만파,0.881200016
21,12안젤로,,강원원주시,033-748-8253,강원도 원주시 단계동 1115-3,37.347786,127.926871,눈꽃빙수|카페,3,카페,4.666666667,389,87516,4,커피 한잔의 낭만파,0.881200016
22,알베르,,서울강남구,02-566-6181,서울특별시 강남구 역삼동 618-11,37.50307,127.028079,티라미수|카페,31,카페,3.677419355,266128,194122,4,커피 한잔의 낭만파,0.881200016
23,서울커피상회,,서울중구,02-725-1205,서울특별시 종로구 누하동 21-1,37.580189,126.968905,말차|카페,5,카페,3.6,218806,372398,3,커피 한잔의 낭만파,0.864300013
24,안녕커피씨,,경기시흥시,031-506-7867,경기도 시흥시 대야동 466-19,37.446116,126.788445,커피|카페,1,카페,4,264417,218901,4,커피 한잔의 낭만파,0.864300013
25,모노클,,대구중구,,대구광역시 중구 공평동 80-2,35.8693,128.6,스콘|카페,1,카페,5,148383,191363,5,커피 한잔의 낭만파,0.864300013
26,아지티,,경기파주시,031-948-2367,경기도 파주시 와동동 1642-5,37.736907,126.751905,커피|카페,1,카페,3,263453,369062,3,커피 한잔의 낭만파,0.864300013
27,더아양,,대구동구,053-941-6161,대구광역시 동구 효목1동 1088-2,35.880764,128.651979,브런치카페|카페,3,카페,3.666666667,90785,745622,4,커피 한잔의 낭만파,0.864300013
28,바네스데코 카페,,대전서구,070-5117-0540,대전광역시 서구 가수원동 1057,36.305246,127.351821,핸드메이드|카페,8,카페,4.875,163402,397404,5,커피 한잔의 낭만파,0.864300013
29,SURELY,,대구달성군,010-9363-7071,대구광역시 달성군 다사읍 죽곡리 686,35.845097,128.464996,카페,1,카페,4,10747,745622,4,커피 한잔의 낭만파,0.864300013
30,OFFER COFFEE,,경기평택시,070-8822-2006,경기도 평택시 비전동 1045-1,37.003251,127.110876,카페|라즈베리,2,카페,3.5,9980,743691,4,커피 한잔의 낭만파,0.864300013
31,골든마우스,,서울서초구,02-588-1008,서울특별시 서초구 서초동 1566-3,37.489896,127.013049,브런치|카페,3,카페,3.666666667,31522,385219,4,커피 한잔의 낭만파,0.864300013
32,모든사람들,,경기부천시,032-665-5230,경기도 부천시 송내동 347-1 2층,37.487262,126.755492,카페,3,카페,5,148752,6757,5,커피 한잔의 낭만파,0.864300013
33,당도,,경남통영시,055-645-5333,경상남도 통영시 광도면 죽림리 1573-2,34.8843,128.42,카페,4,카페,5,81273,386004,5,커피 한잔의 낭만파,0.864300013
34,아모르미오,,서울관악구,070-8229-1456,서울특별시 관악구 봉천동 1679-7,37.479099,126.960112,스콘|카페,9,카페,3.555555556,260808,65483,4,커피 한잔의 낭만파,0.864300013
35,더테라스,,경기안양시만안구,031-689-4540,경기도 안양시 만안구 석수동 212-1,37.418331,126.918186,레스토랑|카페,3,카페,4.333333333,92009,27878,4,커피 한잔의 낭만파,0.864300013
36,마를리,,서울성동구,02-467-0303,서울특별시 성동구 성수동2가 315-55,37.542881,127.054785,케이크|카페,5,카페,3.6,127893,198312,3,커피 한잔의 낭만파,0.864300013
37,오라델떼,,경기부천시,0507-1302-7759,경기도 부천시 상동 529-38,37.507532,126.744229,카페,1,카페,5,290486,31285,5,커피 한잔의 낭만파,0.864300013
38,비비스토리,,경기군포시,031-395-6777,경기도 군포시 산본동 1125-2,37.360564,126.932576,브런치카페|퀘사디아,1,카페,4,196668,31624,4,커피 한잔의 낭만파,0.864300013
39,까슈,,서울성북구,,서울특별시 성북구 동선동2가 135-10,37.590988,127.019551,한옥카페|카페,3,카페,1.666666667,54312,251581,3,커피 한잔의 낭만파,0.864300013
40,더티트렁크,,경기파주시,010-4621-9527,경기 파주시 문발동 75-6,37.728443,126.70292,카페,20,카페,3.95,92061,247859,5,커피 한잔의 낭만파,0.864300013
41,arvo,,서울용산구,02-797-0998,서울특별시 용산구 이태원동 34-118,37.5326,126.991,카페,1,카페,5,4711,388399,5,커피 한잔의 낭만파,0.864300013
42,조이점프,,경기구리시,031-565-7600,경기도 구리시 토평동 275-4,37.5869,127.148,키즈카페,0,카페,4,353520,71632,5,커피 한잔의 낭만파,0.864300013
43,시집,,전북전주시완산구,010-7640-8787,전라북도 전주시 완산구 평화동3가 584-6,35.776435,127.115829,카페,1,카페,4,247943,389728,4,커피 한잔의 낭만파,0.864300013
44,바다정원,,강원고성군,033-636-1096,강원도 고성군 토성면 용촌리 59-1,38.230976,128.583677,카페|커피,7,카페,4.142857143,164208,256325,4,커피 한잔의 낭만파,0.864300013
45,엘리펀트커피,,서울강동구,02-488-2039,서울특별시 강동구 둔촌2동 53-3,37.534242,127.143829,커피|카페,1,카페,4,278518,7320,4,커피 한잔의 낭만파,0.864300013
46,메이크어케이크,,경기성남시분당구,031-708-7040,경기도 성남시 분당구 삼평동 740,37.397729,127.113431,케이크|카페,1,카페,4,142501,70333,4,커피 한잔의 낭만파,0.864300013
47,예쁜고래,,울산동구,070-4126-6058,울산광역시 동구 일산동 975-5,35.491829,129.431351,눈꽃빙수|카페,1,카페,4,285156,286165,4,커피 한잔의 낭만파,0.864300013
48,살롱 드 라방,,제주제주시,070-7797-3708,제주특별자치도 제주시 애월읍 하가리 1415,33.457871,126.349006,팬케이크|카페,4,카페,4.75,208287,190080,5,커피 한잔의 낭만파,0.864300013
49,이미,,서울마포구,02-6368-5228,서울시 마포구 동교동 201-10,37.557438,126.9219,오렌지빙수|카페,12,카페,3.916666667,325670,323893,5,커피 한잔의 낭만파,0.864300013
50,러브올낫,,경남통영시,010-8515-4242,경상남도 통영시 용남면 화삼리 1,34.860354,128.450795,카페|스콘,5,카페,4.6,120367,47392,4,커피 한잔의 낭만파,0.864300013
51,랑데자뷰,,서울강남구,02-552-0204,서울특별시 강남구 역삼동 618-18 1층,37.502691,127.027934,카페|타르트,8,카페,3.625,120028,148702,4,커피 한잔의 낭만파,0.841700017
52,썸띵어바웃어스,,대전중구,070-7721-6750,대전광역시 중구 대흥동 437-6,36.324264,127.426527,좌식카페|카페,2,카페,4,257447,583035,4,커피 한잔의 낭만파,0.841700017
53,대흥동커피,,대전중구,010-3495-1423,대전광역시 중구 대흥동 223-1,36.326476,127.425415,카페,1,카페,4,88596,583035,4,커피 한잔의 낭만파,0.841700017
54,오르막카페,,부산사상구,051-313-3117,부산광역시 사상구 주례동 411-16,35.151015,129.00554,카페,1,카페,5,291014,358261,5,커피 한잔의 낭만파,0.841700017
55,안다즈커피,,서울광진구,,서울특별시 광진구 구의동 75-26,37.550274,127.089638,커피|카페,5,카페,4,264476,284695,5,커피 한잔의 낭만파,0.841700017
56,레이어드,,서울중구,,서울특별시 종로구 재동 84-14,37.577763,126.985925,스콘|카페,23,카페,3.869565217,121216,593182,4,커피 한잔의 낭만파,0.841700017
57,바닐라가든,,대전유성구,,대전광역시 유성구 궁동 418-3,36.361317,127.348125,타르트|카페,1,카페,4,163457,583035,4,커피 한잔의 낭만파,0.841700017
58,백금당,,경기파주시,,경기도 파주시 와동동 1638-2,37.7366,126.752,수플레|카페,8,카페,3.875,172413,372398,4,커피 한잔의 낭만파,0.841700017
59,멜로워,,서울성동구,02-499-1112,서울특별시 성동구 성수동2가 333-94,37.542514,127.053273,베이커리카페|카페,7,카페,4.285714286,143809,71632,5,커피 한잔의 낭만파,0.841700017
60,맨션5,,대구중구,053-421-1225,대구광역시 중구 종로2가 5,35.869344,128.592113,한옥카페|브런치카페,9,카페,3.777777778,140316,149529,4,커피 한잔의 낭만파,0.841700017
61,르사이트,,서울강남구,,서울특별시 강남구 신사동 536-1,37.5189,127.023,크로와상|카페,1,카페,4,124773,514754,4,커피 한잔의 낭만파,0.841700017
62,블루플래닛,,전북전주시완산구,010-9813-5114,전라북도 전주시 완산구 평화동2가 917-1 1층,35.782468,127.1349,카페|베이커리,1,카페,3,196110,191568,3,커피 한잔의 낭만파,0.841700017
63,시간의 공기,,서울마포구,070-4402-3816,서울특별시 마포구 합정동 354-3,37.547739,126.918859,티라미수|카페,3,카페,4.666666667,245505,18783,5,커피 한잔의 낭만파,0.841700017
64,단궁,,경기양주시,031-871-3700,경기도 양주시 백석읍 기산리 182-6,37.776127,126.959091,한옥카페|카페,1,카페,4,77421,364545,4,커피 한잔의 낭만파,0.841700017
65,는커피,,서울중구,02-2246-1212,서울특별시 중구 신당동 288-17,37.560718,127.015139,카페|디저트,1,카페,5,72589,351590,5,커피 한잔의 낭만파,0.841700017
66,루프트,,서울중구,02-2267-2233,서울특별시 중구 충무로2가 50-10,37.562039,126.989146,커피|카페,1,카페,4,124274,459433,4,커피 한잔의 낭만파,0.841700017
67,가배두림,가산디지털점,서울금천구,02-855-1139,서울특별시 금천구 가산동 345-13,37.47319,126.884285,카페,1,카페,3,13335,32015,3,커피 한잔의 낭만파,0.841700017
68,마리스,,충남천안시동남구,070-4045-5220,충청남도 천안시 동남구 안서동 492-2,36.83442,127.172896,루프탑|카페,6,카페,3.833333333,127946,467850,1,커피 한잔의 낭만파,0.841700017
69,odod,,부산남구,010-9600-0721,부산광역시 남구 대연동 501-6,35.134395,129.100729,앙버터|카페,1,카페,4,9977,72686,4,커피 한잔의 낭만파,0.841700017
70,비플로우,,경기부천시,070-8814-7637,경기도 부천시 중동 1123-4,37.495453,126.776357,cafe,3,카페,3.666666667,198396,31285,5,커피 한잔의 낭만파,0.841700017
71,어텀라이프,,경기용인시기흥구,031-213-3374,경기도 용인시 기흥구 영덕동 997-8,37.273475,127.071127,카페,1,카페,4,273889,70650,4,커피 한잔의 낭만파,0.841700017
72,사월의물고기,,서울마포구,010-5385-3117,서울특별시 마포구 성산동 625-8,37.561507,126.918026,까눌레|카페,1,카페,5,204663,280081,5,커피 한잔의 낭만파,0.841700017
73,보일링팟,,서울용산구,070-7799-6985,서울특별시 용산구 한강로2가 148-1,37.530056,126.971101,아인슈페너|카페,1,카페,4,181124,106056,4,커피 한잔의 낭만파,0.841700017
74,연운당,,부산부산진구,051-804-2026,부산광역시 부산진구 전포동 687-12,35.155144,129.064484,토마토빙수|빙수,1,카페,3,281163,70779,3,커피 한잔의 낭만파,0.841700017
75,에이치,,강원원주시,033-747-8087,강원도 원주시 중앙동 12-2,37.3517,127.947767,카페,1,카페,3,277336,325129,3,커피 한잔의 낭만파,0.841700017
76,정지영 커피 로스터즈,,경기수원시영통구,010-3668-7348,경기도 수원시 영통구 망포동 322-3,37.245122,127.055998,코코넛커피|카페,0,카페,4.428571429,348622,67211,4,커피 한잔의 낭만파,0.841700017
77,게네랄파우제,,부산중구,051-463-3927,부산광역시 중구 영주동 287-5,35.1103,129.033,갤러리카페|카페,1,카페,3,22754,224421,3,커피 한잔의 낭만파,0.841700017
78,엇모스트,,경기수원시영통구,070-7570-0816,경기도 수원시 영통구 이의동 1322-5,37.292716,127.050131,카페|스콘,2,카페,3,275873,49742,3,커피 한잔의 낭만파,0.841700017
79,에스트로,,서울도봉구,02-990-0272,서울특별시 도봉구 창동 262-6,37.654303,127.044493,카페,1,카페,5,277056,199077,5,커피 한잔의 낭만파,0.841700017
80,설빙,,서울용산구,02-715-9888,서울특별시 용산구 청파동2가 71-88,37.54585,126.96804,생딸기|빙수,1,카페,4,222067,5847,4,커피 한잔의 낭만파,0.841700017
81,밀도,광교점,경기수원시영통구,031-306-5051,"경기도 수원시 영통구 원천동 593 141,142,143호",37.274878,127.061083,식빵|베이커리,5,카페,3.8,162432,361497,3,커피 한잔의 낭만파,0.841700017
82,데미타스,,경기고양시일산동구,031-931-5733,경기도 고양시 일산동구 장항동 867,37.655896,126.771989,와플|카페,2,카페,4.5,93643,224662,4,커피 한잔의 낭만파,0.841700017
83,두두당,,대전대덕구,,대전광역시 대덕구 용호동 53,36.448272,127.45073,한옥카페,1,카페,3,107557,291745,3,커피 한잔의 낭만파,0.841700017
84,성북동 연우재,,서울성북구,010-6315-1790,서울특별시 성북구 성북동1가 61,37.5894,127.004,갤러리카페|카페,3,카페,5,223188,249802,5,커피 한잔의 낭만파,0.834699988
85,스노브,,서울마포구,02-325-5770,서울시 마포구 상수동 86-53,37.54976,126.92287,타르트|카페,7,카페,3.857142857,240615,96360,4,커피 한잔의 낭만파,0.825500011
86,어 로프 슬라이스 피스,,경기용인시처인구,031-339-1488,경기도 용인시 처인구 유방동 755,37.2628,127.191,베이커리카페|카페,12,카페,3.833333333,271664,288157,4,커피 한잔의 낭만파,0.822700024
87,모이커피클래식,,경기수원시팔달구,031-258-3880,경기도 수원시 팔달구 우만동 499-12,37.287011,127.033285,수플레|카페,5,카페,4,149854,855589,4,커피 한잔의 낭만파,0.817799985
88,어니스트팬케이크,,서울마포구,070-8802-3330,서울특별시 마포구 연남동 390-64,37.562375,126.924914,팬케이크|팬케이크전문,3,카페,4.333333333,271929,176665,5,커피 한잔의 낭만파,0.813499987
89,모노블,,경북칠곡군,070-8680-1662,경상북도 칠곡군 석적읍 성곡리 506,36.072072,128.430324,베이커리카페|카페,4,카페,4,148330,539886,2,커피 한잔의 낭만파,0.81309998
90,당도,,경남통영시,055-645-5333,경상남도 통영시 광도면 죽림리 1573-2,34.8843,128.42,카페,4,카페,5,81273,218357,5,커피 한잔의 낭만파,0.810000002
91,낭만만옥,,경기수원시팔달구,070-7797-3385,경기도 수원시 팔달구 신풍동 139-4,37.2843,127.014,한옥카페|카페,2,카페,4.5,65436,71632,5,커피 한잔의 낭만파,0.810000002
92,아벨커피,,경기남양주시,031-576-7201,경기도 남양주시 와부읍 팔당리 246-5,37.54561,127.245061,브런치카페|카페,1,카페,4,261122,364545,4,커피 한잔의 낭만파,0.810000002
93,더 로그,,제주제주시,010-4879-8932,제주특별자치도 제주시 아라1동 362-80,33.450233,126.559129,카페,1,카페,4,88789,319205,4,커피 한잔의 낭만파,0.810000002
94,어 로프 슬라이스 피스,,경기용인시처인구,031-339-1488,경기도 용인시 처인구 유방동 755,37.2628,127.191,베이커리카페|카페,12,카페,3.833333333,271664,358474,4,커피 한잔의 낭만파,0.810000002
95,설빙,,경기구리시,031-567-1150,경기도 구리시 수택동 383-12,37.600113,127.139501,인절미빙수|빙수,7,카페,3.714285714,222096,641859,4,커피 한잔의 낭만파,0.810000002
96,어니언,,서울성동구,070-7816-2710,서울특별시 성동구 성수동2가 277-135,37.544717,127.058299,베이커리카페|카페,32,카페,3.875,271933,48793,5,커피 한잔의 낭만파,0.810000002
97,오하이오,,대구중구,053-292-3456,대구광역시 중구 공평동 89-1,35.870383,128.599637,cafe|말차,1,카페,4,296024,149529,4,커피 한잔의 낭만파,0.810000002
98,대림창고,,서울성동구,02-499-9669,서울특별시 성동구 성수2가 322-32,37.541973,127.056404,갤러리카페|카페,29,카페,3.517241379,83787,372209,4,커피 한잔의 낭만파,0.810000002
99,빈차,,경기구리시,031-563-0003,경기도 구리시 토평동 972-1,37.590729,127.145454,칵테일|카페,1,카페,4,198997,252734,4,커피 한잔의 낭만파,0.810000002
100,1997영국집,,경남창원시의창구,055-286-1997,경상남도 창원시 의창구 용호동 53-5,35.237897,128.682017,베이커리카페|카페,3,카페,3.666666667,818,745622,4,커피 한잔의 낭만파,0.810000002
101,모토커피,,부산수영구,051-753-7536,부산광역시 수영구 망미동 420-2,35.172948,129.108961,티라미수|카페,2,카페,3,150082,49642,4,커피 한잔의 낭만파,0.810000002
102,숲속의 섬,,경기고양시일산동구,031-902-3303,경기도 고양시 일산동구 풍동 1121,37.668713,126.79052,전통찻집|카페,1,카페,4,239505,1582,4,커피 한잔의 낭만파,0.810000002
103,머스트컴,,서울성동구,010-4045-1138,서울특별시 성동구 성수동1가 656-1229,37.546,127.046,카페|주스,2,카페,3.5,140834,128271,4,커피 한잔의 낭만파,0.810000002
104,블랙공단,,경북경주시,054-773-1104,경상북도 경주시 외동읍 구어리 1411-35,35.698031,129.302119,커피|카페,1,카페,4,195380,366742,4,커피 한잔의 낭만파,0.810000002
105,블라인드멜론,,대구북구,010-5058-9071,대구광역시 북구 복현동 597-22,35.892253,128.615094,카페,3,카페,4.333333333,195288,74999,4,커피 한잔의 낭만파,0.810000002
106,10페이지,한양대1호점,서울성동구,02-2282-7063,서울 성동구 행당동 4-17,37.559809,127.039676,카페|커피,3,카페,3.666666667,239,237668,5,커피 한잔의 낭만파,0.810000002
107,이음컴퍼니,,대구달성군,053-585-0892,대구광역시 달성군 다사읍 죽곡리 809-2,35.857006,128.46477,카페|케이크,1,카페,3,327737,74999,3,커피 한잔의 낭만파,0.810000002
108,미술관옆집,,서울중구,070-4400-0434,서울특별시 종로구 통의동 35-37,37.577225,126.973448,카페|커피,13,카페,4,158515,361309,4,커피 한잔의 낭만파,0.810000002
109,고래상점,,서울마포구,02-335-4646,서울특별시 마포구 서교동 401-7,37.548594,126.91916,티라미수|카페,3,카페,4,27027,314531,5,커피 한잔의 낭만파,0.810000002
110,올모스트홈 카페,아트선재센터점,서울중구,02-734-2626,서울특별시 종로구 소격동 144-2,37.579422,126.981841,쑥차라떼|한옥카페,4,카페,3.25,298338,351590,3,커피 한잔의 낭만파,0.810000002
111,바르바커피,구봉도점,경기안산시단원구,032-888-6627,경기도 안산시 단원구 대부북동 1871-12,37.276803,126.549843,커피|카페,1,카페,4,165225,227237,4,커피 한잔의 낭만파,0.810000002
112,인아웃,,대전서구,010-8221-9101,대전광역시 서구 가수원동 1268,36.3076,127.353,스콘|카페,3,카페,4.666666667,330896,27070,5,커피 한잔의 낭만파,0.810000002
113,동숭동커피,,서울중구,02-762-7890,서울특별시 종로구 동숭동 130-63,37.581171,127.004726,핸드드립커피|카페,7,카페,3.857142857,103888,218901,4,커피 한잔의 낭만파,0.810000002
114,uu coffee,,서울성동구,02-2298-9688,서울특별시 성동구 행당동 1-79,37.5617,127.041,카페|마들렌,4,카페,4.25,11268,129333,4,커피 한잔의 낭만파,0.810000002
115,온사이트,,경북칠곡군,054-974-1102,경상북도 칠곡군 왜관읍 왜관리 648,35.986009,128.408407,카페|커피,1,카페,5,297409,150132,5,커피 한잔의 낭만파,0.810000002
116,달콤커피,동대문역사문화공원점,서울중구,02-2269-8007,서울특별시 중구 을지로6가 18-21 굿모닝시티 2층,37.566875,127.00728,커피|카페,2,카페,3.5,79419,293382,3,커피 한잔의 낭만파,0.810000002
117,도쿄빙수,,서울마포구,02-322-0321,서울특별시 마포구 상수동 310-20,37.548279,126.922051,토마토빙수|빙수,5,카페,3.8,96671,22782,4,커피 한잔의 낭만파,0.810000002
118,위켄드 커피,,경기고양시덕양구,070-4146-9239,경기도 고양시 덕양구 화정동 923-9,37.63908,126.831302,앙버터|카페,3,카페,4.333333333,315259,42484,5,커피 한잔의 낭만파,0.810000002
119,그라퍼,,경기화성시,031-374-3966,경기도 화성시 745-2,37.203056,127.121889,갤러리카페|카페,2,카페,3,44189,791637,3,커피 한잔의 낭만파,0.810000002
120,골든마우스,,서울서초구,02-588-1008,서울특별시 서초구 서초동 1566-3,37.489896,127.013049,브런치|카페,3,카페,3.666666667,31522,279652,4,커피 한잔의 낭만파,0.810000002
121,잉크,,부산기장군,051-728-2656,부산광역시 기장군 장안읍 월내리 141-3,35.3261,129.276,이색카페|카페,3,카페,5,334650,222718,5,커피 한잔의 낭만파,0.810000002
122,더티트렁크,,경기파주시,010-4621-9527,경기 파주시 문발동 75-6,37.728443,126.70292,카페,20,카페,3.95,92061,1596,5,커피 한잔의 낭만파,0.810000002
123,썬댄스플레이스,,서울용산구,02-790-2293,서울특별시 용산구 이태원동 260-18,37.5427,126.991,브런치|카페,6,카페,4,257110,129831,5,커피 한잔의 낭만파,0.810000002
124,어트렉티브,,강원춘천시,010-2033-8844,강원도 춘천시 퇴계동 1149-7,37.864566,127.727818,카페|커피,3,카페,3.666666667,273893,459433,4,커피 한잔의 낭만파,0.810000002
125,델문도,,제주제주시,064-702-0007,제주특별자치도 제주시 조천읍 함덕리 1008-1,33.543778,126.668836,cafe|커피,20,카페,3.6,94127,46763,3,커피 한잔의 낭만파,0.810000002
126,비에이치 테이블,,서울광진구,010-7171-7671,서울특별시 광진구 자양동 775-10,37.537774,127.080782,브런치|샌드위치,1,카페,5,197746,921028,5,커피 한잔의 낭만파,0.810000002
127,K375,,서울광진구,02-463-3368,서울특별시 광진구 화양동 3-75,37.543139,127.071265,cafe|수제케이크,6,카페,3.166666667,9062,745622,3,커피 한잔의 낭만파,0.810000002
128,안녕육지사람,,제주제주시,010-2823-0170,제주특별자치도 제주시 우도면 1197-4,33.515218,126.957221,땅콩아이스크림|카페,3,카페,3.666666667,264402,74999,4,커피 한잔의 낭만파,0.810000002
129,뜨아아아 커피집,,서울성동구,070-4256-2555,서울특별시 성동구 행당동 264,37.560231,127.035054,한옥카페|커피,4,카페,3.5,117309,247859,4,커피 한잔의 낭만파,0.810000002
130,베로키오,,경기파주시,031-945-3071,경기도 파주시 탄현면 성동리 87-3,37.79084,126.685547,커피|카페,4,카페,3.75,176522,74592,4,커피 한잔의 낭만파,0.810000002
131,에그드랍,산본로데오점,경기군포시,031-395-7779,경기도 군포시 산본동 1137-2 여명프라자 104호,37.359726,126.930485,샌드위치|토스트,3,카페,4.333333333,276429,152603,4,커피 한잔의 낭만파,0.810000002
132,위더스트래블,,제주제주시,070-4262-7768,제주특별자치도 제주시 일도1동 1298-22,33.515352,126.525146,브런치카페|카페,1,카페,5,314989,319205,5,커피 한잔의 낭만파,0.810000002
133,산토리니,,강원춘천시,033-242-3010,강원도 춘천시 동면 장학리 144-16,37.891408,127.776305,그리스|카페,8,카페,3.125,207984,74999,4,커피 한잔의 낭만파,0.810000002
134,더브릿지,,서울마포구,02-332-4402,서울특별시 마포구 서교동 398-5,37.549865,126.918444,좌식카페|카페,4,카페,3.25,90258,143034,4,커피 한잔의 낭만파,0.810000002
135,레드메이플,,경기성남시분당구,070-4142-8368,경기도 성남시 분당구 판교동 614-6,37.391577,127.089603,카페|스콘,1,카페,5,120734,861844,5,커피 한잔의 낭만파,0.810000002
136,맷차,,서울서대문구,02-336-4812,서울시 서대문구 연희동 128-27,37.567275,126.928105,디저트카페,2,카페,3.5,140567,251581,4,커피 한잔의 낭만파,0.810000002
137,더로드101,,경남하동군,070-4458-4650,경상남도 하동군 화개면 삼신리 341-3,35.2155,127.638,카페|커피,5,카페,3.8,89482,534410,3,커피 한잔의 낭만파,0.810000002
138,도밍고팩토리,,서울중구,070-7644-5552,서울특별시 종로구 명륜2가 216-4,37.584127,126.997527,카페|디저트,3,카페,3.666666667,95747,287457,4,커피 한잔의 낭만파,0.810000002
139,삼문당 커피로스터,,경남통영시,055-645-9092,경상남도 통영시 태평동 385-1 2층,34.846582,128.424232,로스터리카페|커피,5,카페,4,209657,132643,4,커피 한잔의 낭만파,0.810000002
140,에버브라운,,경기성남시분당구,070-7430-2618,경기도 성남시 분당구 운중동 41-1,37.390879,127.057944,브런치카페|카페,2,카페,4,276831,697977,4,커피 한잔의 낭만파,0.810000002
141,면곡당,,서울광진구,010-3808-1743,서울시 광진구 중곡동 569-4,37.570641,127.081986,카페|디저트카페,2,카페,5,143907,284695,5,커피 한잔의 낭만파,0.810000002
142,아마스빈,,경북포항시북구,010-8956-9255,경상북도 포항시 북구 대흥동 546-1,36.037539,129.364317,버블티|카페,1,카페,3,260544,190973,3,커피 한잔의 낭만파,0.810000002
143,레이어드,,서울중구,,서울특별시 종로구 재동 84-14,37.577763,126.985925,스콘|카페,23,카페,3.869565217,121216,212969,3,커피 한잔의 낭만파,0.810000002
144,마를리,,서울성동구,02-467-0303,서울특별시 성동구 성수동2가 315-55,37.542881,127.054785,케이크|카페,5,카페,3.6,127893,171967,3,커피 한잔의 낭만파,0.805400014
